,Sales of shampoo over a three year period
1950 ,266
1951 ,145.9
1951 ,183.1
1951 ,119.3
1952 ,180.3
1951 ,168.5
1953 ,231.8
1951 ,224.5
1954 ,192.8
1951 ,122.9
1955 ,336.5
1951 ,185.9
1956 ,194.3
1951 ,149.5
1957 ,210.1
1951 ,273.3
1958 ,191.4
1951 ,287
1959 ,226
1951 ,303.6
1960 ,289.9
1951 ,421.6
1961 ,264.5
1951 ,342.3
1962 ,339.7
1951 ,440.4
1963 ,315.9
1951 ,439.3
1964 ,401.3
1951 ,437.4
1965 ,575.5
1951 ,407.6
1966 ,682
1951 ,475.3
1967 ,581.3
1951 ,646.9
,
Sales of shampoo over a three year period,
